buying,selling,avg,scrape_time
38.6983,39.0853,38.8918,2025-09-07
38.6983,39.0853,38.8918,2025-09-08
38.8405,39.2289,39.0347,2025-09-09
39.0256,39.4158,39.2207,2025-09-10
38.9522,39.3417,39.147,2025-09-11
38.9522,39.3417,39.147,2025-09-12
39.0975,39.4885,39.293,2025-09-13
39.0975,39.4885,39.293,2025-09-14
39.0975,39.4885,39.293,2025-09-15
39.1671,39.5587,39.3629,2025-09-16
39.3136,39.7067,39.5102,2025-09-17
39.0052,39.3953,39.2003,2025-09-18
38.9367,39.3261,39.1314,2025-09-19
39.1218,39.513,39.3174,2025-09-20
39.1218,39.513,39.3174,2025-09-21
39.1218,39.513,39.3174,2025-09-22
39.7201,40.1173,39.9187,2025-09-23
39.4369,39.8313,39.6341,2025-09-24
39.345,39.7385,39.54175,2025-09-25
39.29,39.6829,39.4865,2025-09-26
39.1123,39.5034,39.3079,2025-09-27
39.1123,39.5034,39.3079,2025-09-28
39.1123,39.5034,39.3079,2025-09-29
39.3837,39.7775,39.5806,2025-09-30
39.8557,40.2543,40.055,2025-10-01
39.2983,39.6913,39.4948,2025-10-02
39.2063,39.5984,39.4024,2025-10-03
39.4742,39.8689,39.6716,2025-10-04
39.4742,39.8689,39.6716,2025-10-05
39.4742,39.8689,39.6716,2025-10-06
39.303,39.696,39.4995,2025-10-07
39.4379,39.8323,39.6351,2025-10-08
39.7732,40.1709,39.97205,2025-10-09
