buying,selling,avg,scrape_time,Pair
38.6983,39.0853,38.8918,9/7/2025,AEDBIRR
38.6983,39.0853,38.8918,9/8/2025,AEDBIRR
38.8405,39.2289,39.0347,9/9/2025,AEDBIRR
39.0256,39.4158,39.2207,9/10/2025,AEDBIRR
38.9522,39.3417,39.147,9/11/2025,AEDBIRR
38.9522,39.3417,39.147,9/12/2025,AEDBIRR
39.0975,39.4885,39.293,9/13/2025,AEDBIRR
39.0975,39.4885,39.293,9/14/2025,AEDBIRR
39.0975,39.4885,39.293,9/15/2025,AEDBIRR
39.1671,39.5587,39.3629,9/16/2025,AEDBIRR
39.3136,39.7067,39.5102,9/17/2025,AEDBIRR
39.0052,39.3953,39.2003,9/18/2025,AEDBIRR
38.9367,39.3261,39.1314,9/19/2025,AEDBIRR
39.1218,39.513,39.3174,9/20/2025,AEDBIRR
39.1218,39.513,39.3174,9/21/2025,AEDBIRR
39.1218,39.513,39.3174,9/22/2025,AEDBIRR
39.7201,40.1173,39.9187,9/23/2025,AEDBIRR
39.4369,39.8313,39.6341,9/24/2025,AEDBIRR
39.345,39.7385,39.54175,9/25/2025,AEDBIRR
39.29,39.6829,39.4865,9/26/2025,AEDBIRR
39.1123,39.5034,39.3079,9/27/2025,AEDBIRR
39.1123,39.5034,39.3079,9/28/2025,AEDBIRR
39.1123,39.5034,39.3079,9/29/2025,AEDBIRR
39.3837,39.7775,39.5806,9/30/2025,AEDBIRR
39.8557,40.2543,40.055,10/1/2025,AEDBIRR
39.2983,39.6913,39.4948,10/2/2025,AEDBIRR
39.2063,39.5984,39.4024,10/3/2025,AEDBIRR
39.4742,39.8689,39.6716,10/4/2025,AEDBIRR
39.4742,39.8689,39.6716,10/5/2025,AEDBIRR
39.4742,39.8689,39.6716,10/6/2025,AEDBIRR
39.303,39.696,39.4995,10/7/2025,AEDBIRR
39.4379,39.8323,39.6351,10/8/2025,AEDBIRR
39.7732,40.1709,39.97205,10/9/2025,AEDBIRR
39.998,40.398,40.198,10/10/2025,AEDBIRR
165.5297,167.185,166.3574,9/7/2025,EURBIRR
168.0319,169.7122,168.8721,9/12/2025,EURBIRR
168.0319,169.7122,168.8721,9/13/2025,EURBIRR
168.0319,169.7122,168.8721,9/14/2025,EURBIRR
168.0319,169.7122,168.8721,9/15/2025,EURBIRR
168.7962,170.4842,169.6402,9/16/2025,EURBIRR
169.7402,171.4376,170.5889,9/17/2025,EURBIRR
169.2112,170.9033,170.0573,9/18/2025,EURBIRR
169.3859,171.0798,170.2329,9/19/2025,EURBIRR
170.0858,171.7867,170.9363,9/20/2025,EURBIRR
170.0858,171.7867,170.9363,9/21/2025,EURBIRR
170.0858,171.7867,170.9363,9/22/2025,EURBIRR
171.6073,173.3234,172.4654,9/23/2025,EURBIRR
170.5724,172.2781,171.4253,9/24/2025,EURBIRR
170.4205,172.1247,171.2726,9/25/2025,EURBIRR
169.576,171.2718,170.4239,9/26/2025,EURBIRR
168.8234,170.5117,169.6676,9/27/2025,EURBIRR
168.8234,170.5117,169.6676,9/28/2025,EURBIRR
168.8234,170.5117,169.6676,9/29/2025,EURBIRR
168.8521,170.5406,169.6964,9/30/2025,EURBIRR
171.5732,173.2889,172.4311,10/1/2025,EURBIRR
169.4722,171.1669,170.3196,10/2/2025,EURBIRR
168.7873,170.4752,169.6313,10/3/2025,EURBIRR
170.4045,172.1085,171.2565,10/4/2025,EURBIRR
170.4045,172.1085,171.2565,10/5/2025,EURBIRR
170.4045,172.1085,171.2565,10/6/2025,EURBIRR
169.4974,171.1924,170.3449,10/7/2025,EURBIRR
169.1173,170.8084,169.9629,10/8/2025,EURBIRR
170.4927,172.1977,171.3452,10/9/2025,EURBIRR
170.6779,172.3847,171.5313,10/10/2025,EURBIRR
142.4289,142.4292,142.4291,8/28/2025,USDBIRR
142.4289,142.4292,142.4291,8/29/2025,USDBIRR
141.3926,142.1014,141.747,8/30/2025,USDBIRR
141.3926,142.1014,141.747,8/31/2025,USDBIRR
141.3926,142.1014,141.747,9/1/2025,USDBIRR
142.5309,143.2438,142.8874,9/2/2025,USDBIRR
142.5956,142.5974,142.5965,9/3/2025,USDBIRR
142.5469,142.547,142.547,9/4/2025,USDBIRR
142.5469,142.547,142.547,9/5/2025,USDBIRR
142.1466,142.1466,142.1466,9/6/2025,USDBIRR
142.1466,142.1466,142.1466,9/7/2025,USDBIRR
142.1466,142.1466,142.1466,9/8/2025,USDBIRR
142.669,142.6691,142.6691,9/9/2025,USDBIRR
143.3488,143.3488,143.3488,9/10/2025,USDBIRR
143.083,143.0833,143.0832,9/11/2025,USDBIRR
143.083,143.0833,143.0832,9/12/2025,USDBIRR
143.617,143.6171,143.6171,9/13/2025,USDBIRR
143.617,143.6171,143.6171,9/14/2025,USDBIRR
143.617,143.6171,143.6171,9/15/2025,USDBIRR
143.8645,143.9152,143.8899,9/16/2025,USDBIRR
144.4106,144.4276,144.4191,9/17/2025,USDBIRR
143.2779,143.3777,143.3278,9/18/2025,USDBIRR
143.0262,143.0567,143.0415,9/19/2025,USDBIRR
143.7021,143.7051,143.7036,9/20/2025,USDBIRR
143.7021,143.7051,143.7036,9/21/2025,USDBIRR
143.7021,143.7051,143.7036,9/22/2025,USDBIRR
145.8998,145.9894,145.9446,9/23/2025,USDBIRR
144.8598,144.8611,144.8605,9/24/2025,USDBIRR
144.5221,144.7539,144.638,9/25/2025,USDBIRR
144.32,144.3492,144.3346,9/26/2025,USDBIRR
143.6673,145.1081,144.3877,9/27/2025,USDBIRR
143.6673,145.1081,144.3877,9/28/2025,USDBIRR
143.6673,145.1081,144.3877,9/29/2025,USDBIRR
144.6642,144.7959,144.7301,9/30/2025,USDBIRR
146.406,146.4295,146.4178,10/1/2025,USDBIRR
144.3545,144.9062,144.6304,10/2/2025,USDBIRR
144.0165,144.4105,144.2135,10/3/2025,USDBIRR
145.0004,145.0381,145.0193,10/4/2025,USDBIRR
145.0004,145.0381,145.0193,10/5/2025,USDBIRR
