buying,selling,avg,scrape_time
165.5297,167.185,166.3574,2025-09-07
168.0319,169.7122,168.8721,2025-09-12
168.0319,169.7122,168.8721,2025-09-13
168.0319,169.7122,168.8721,2025-09-14
168.0319,169.7122,168.8721,2025-09-15
168.7962,170.4842,169.6402,2025-09-16
169.7402,171.4376,170.5889,2025-09-17
169.2112,170.9033,170.0573,2025-09-18
169.3859,171.0798,170.2329,2025-09-19
170.0858,171.7867,170.9363,2025-09-20
170.0858,171.7867,170.9363,2025-09-21
170.0858,171.7867,170.9363,2025-09-22
171.6073,173.3234,172.4654,2025-09-23
170.5724,172.2781,171.4253,2025-09-24
170.4205,172.1247,171.2726,2025-09-25
169.576,171.2718,170.4239,2025-09-25
