buying,selling,avg,scrape_time
142.4289,142.4292,142.4291,2025-08-28
142.4289,142.4292,142.4291,2025-08-29
141.3926,142.1014,141.747,2025-08-30
141.3926,142.1014,141.747,2025-08-31
141.3926,142.1014,141.747,2025-09-01
142.5309,143.2438,142.8874,2025-09-02
142.5956,142.5974,142.5965,2025-09-03
142.5469,142.547,142.547,2025-09-04
142.5469,142.547,142.547,2025-09-05
142.1466,142.1466,142.1466,2025-09-06
142.1466,142.1466,142.1466,2025-09-07
142.1466,142.1466,142.1466,2025-09-08
142.669,142.6691,142.6691,2025-09-08
